"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 22","101.70","101.76","101.89","101.43","","-0.14%"
"2023- 12- 21","101.84","102.39","102.45","101.74","","-0.55%"
"2023- 12- 20","102.41","102.19","102.54","102.16","","0.24%"
"2023- 12- 19","102.17","102.47","102.63","102.07","","-0.38%"
"2023- 12- 18","102.56","102.59","102.63","102.38","","-0.06%"
"2023- 12- 17","102.62","102.59","102.63","102.58","","0.07%"
"2023- 12- 15","102.55","102.10","102.64","101.84","","0.58%"
"2023- 12- 14","101.96","102.78","102.80","101.77","","-0.89%"
"2023- 12- 13","102.87","103.82","104.03","102.78","","-0.96%"
"2023- 12- 12","103.86","104.03","104.10","103.49","","-0.22%"
"2023- 12- 11","104.10","103.98","104.26","103.93","","0.08%"
"2023- 12- 08","104.01","103.64","104.26","103.43","","0.45%"
"2023- 12- 07","103.54","104.11","104.20","103.27","","-0.59%"
"2023- 12- 06","104.15","103.99","104.23","103.87","","0.10%"
"2023- 12- 05","104.05","103.56","104.09","103.55","","0.33%"
"2023- 12- 04","103.71","103.19","103.85","103.06","","0.43%"
"2023- 12- 01","103.27","103.36","103.72","103.11","","-0.22%"
"2023- 11- 30","103.50","102.83","103.59","102.72","","0.71%"
"2023- 11- 29","102.76","102.65","103.01","102.47","","0.02%"
"2023- 11- 28","102.75","103.13","103.32","102.61","","-0.44%"
"2023- 11- 27","103.20","103.42","103.53","103.19","","-0.20%"
"2023- 11- 24","103.40","103.75","103.84","103.36","","-0.35%"
"2023- 11- 23","103.77","103.86","103.88","103.54","","-0.15%"
"2023- 11- 22","103.92","103.55","104.21","103.48","","0.34%"
"2023- 11- 21","103.57","103.47","103.71","103.18","","0.12%"
"2023- 11- 20","103.44","103.82","103.97","103.38","","-0.46%"
"2023- 11- 17","103.92","104.40","104.55","103.81","","-0.41%"
"2023- 11- 16","104.35","104.36","104.56","104.01","","-0.04%"
"2023- 11- 15","104.39","104.22","104.51","103.98","","0.33%"
"2023- 11- 14","104.05","105.65","105.73","103.99","","-1.49%"
"2023- 11- 13","105.63","105.80","105.96","105.59","","-0.22%"
"2023- 11- 10","105.86","105.93","106.01","105.74","","-0.05%"
"2023- 11- 09","105.91","105.53","105.97","105.38","","0.30%"
"2023- 11- 08","105.59","105.54","105.87","105.45","","0.05%"
"2023- 11- 07","105.54","105.27","105.78","105.27","","0.31%"
"2023- 11- 06","105.21","105.07","105.29","104.85","","0.18%"
"2023- 11- 03","105.02","106.20","106.22","104.94","","-1.04%"
"2023- 11- 02","106.12","106.50","106.51","105.81","","-0.71%"
