"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 22","14,992.97","15,006.18","15,047.19","14,927.12","880.44M","0.19%"
"2023- 12- 21","14,963.87","14,923.14","14,970.81","14,837.47","945.08M","1.26%"
"2023- 12- 20","14,777.94","14,973.36","15,069.29","14,776.29","1.20B","-1.50%"
"2023- 12- 19","15,003.22","14,923.02","15,003.80","14,921.60","1.13B","0.66%"
"2023- 12- 18","14,904.81","14,814.02","14,938.04","14,811.82","1.15B","0.61%"
"2023- 12- 15","14,813.92","14,797.46","14,848.41","14,753.16","3.35B","0.35%"
"2023- 12- 14","14,761.56","14,798.72","14,855.62","14,642.23","1.58B","0.19%"
"2023- 12- 13","14,733.96","14,555.68","14,743.55","14,517.53","1.13B","1.38%"
"2023- 12- 12","14,533.40","14,423.01","14,533.40","14,385.39","939.56M","0.70%"
"2023- 12- 11","14,432.49","14,340.13","14,436.08","14,324.57","1.05B","0.20%"
"2023- 12- 08","14,403.97","14,279.46","14,416.92","14,264.96","997.65M","0.45%"
"2023- 12- 07","14,339.99","14,230.43","14,353.11","14,220.87","1.05B","1.37%"
"2023- 12- 06","14,146.71","14,325.62","14,327.63","14,138.51","1.02B","-0.58%"
"2023- 12- 05","14,229.91","14,126.40","14,285.66","14,121.76","1.11B","0.31%"
"2023- 12- 04","14,185.49","14,168.66","14,197.52","14,058.52","1.18B","-0.84%"
"2023- 12- 01","14,305.03","14,181.35","14,311.95","14,135.00","1.09B","0.55%"
"2023- 11- 30","14,226.22","14,265.05","14,289.20","14,127.05","1.53B","-0.23%"
"2023- 11- 29","14,258.49","14,367.11","14,423.22","14,247.89","979.43M","-0.16%"
"2023- 11- 28","14,281.76","14,224.63","14,303.66","14,195.72","870.61M","0.29%"
"2023- 11- 27","14,241.02","14,239.31","14,305.71","14,205.24","839.28M","-0.07%"
"2023- 11- 24","14,250.86","14,238.04","14,270.28","14,214.13","441.68M","-0.11%"
"2023- 11- 22","14,265.86","14,283.82","14,359.61","14,226.63","717.39M","0.46%"
"2023- 11- 21","14,199.98","14,217.23","14,237.50","14,146.30","815.36M","-0.59%"
