"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 22","16,777.40","16,802.74","16,839.25","16,704.10","170.68M","0.12%"
"2023- 12- 21","16,757.41","16,719.42","16,767.99","16,621.78","217.17M","1.23%"
"2023- 12- 20","16,554.16","16,764.78","16,860.22","16,553.98","275.30M","-1.53%"
"2023- 12- 19","16,811.86","16,733.38","16,812.83","16,733.38","228.94M","0.49%"
"2023- 12- 18","16,729.80","16,631.11","16,764.18","16,630.14","249.62M","0.64%"
"2023- 12- 15","16,623.45","16,585.92","16,669.69","16,557.01","982.56M","0.52%"
"2023- 12- 14","16,537.83","16,604.93","16,660.64","16,419.26","392.38M","-0.15%"
"2023- 12- 13","16,562.37","16,392.11","16,580.62","16,357.34","265.12M","1.27%"
"2023- 12- 12","16,354.25","16,210.48","16,354.25","16,175.73","251.20M","0.82%"
"2023- 12- 11","16,221.74","16,066.99","16,232.18","16,064.37","303.21M","0.85%"
"2023- 12- 08","16,084.69","15,955.04","16,100.68","15,937.58","245.09M","0.39%"
"2023- 12- 07","16,022.49","15,888.52","16,040.99","15,876.71","262.03M","1.48%"
"2023- 12- 06","15,788.05","15,990.20","15,990.20","15,777.16","231.99M","-0.56%"
"2023- 12- 05","15,877.71","15,764.67","15,931.84","15,761.42","230.80M","0.24%"
"2023- 12- 04","15,839.67","15,837.12","15,852.31","15,695.58","255.59M","-0.99%"
"2023- 12- 01","15,997.58","15,890.34","16,013.49","15,835.05","247.40M","0.31%"
"2023- 11- 30","15,947.87","15,986.40","16,011.98","15,825.83","444.54M","-0.25%"
"2023- 11- 29","15,987.60","16,111.59","16,166.18","15,976.69","230.98M","-0.14%"
"2023- 11- 28","16,010.43","15,939.12","16,031.38","15,921.45","238.59M","0.30%"
"2023- 11- 27","15,961.98","15,971.05","16,045.30","15,933.04","215.45M","-0.11%"
"2023- 11- 24","15,980.11","15,972.89","16,007.42","15,940.62","68.57M","-0.13%"
"2023- 11- 22","16,001.39","16,027.18","16,118.43","15,964.04","202.91M","0.43%"
"2023- 11- 21","15,933.62","15,952.06","15,967.34","15,867.85","210.89M","-0.58%"
"2023- 11- 20","16,027.06","15,846.14","16,056.43","15,846.14","247.08M","1.19%"
"2023- 11- 17","15,837.99","15,803.98","15,876.82","15,767.03","259.24M","0.03%"
"2023- 11- 16","15,833.17","15,765.07","15,842.63","15,738.49","274.41M","0.10%"
"2023- 11- 15","15,817.18","15,882.78","15,904.36","15,765.37","271.67M","0.03%"
"2023- 11- 14","15,812.47","15,745.42","15,850.28","15,727.96","290.23M","2.13%"
"2023- 11- 13","15,482.79","15,470.03","15,524.56","15,405.50","197.75M","-0.30%"
